iter	Passed	Remaining
0	56	56122
1	158	79250
2	237	78905
3	271	67527
4	295	58815
5	310	51520
6	347	49350
7	372	46150
8	422	46475
9	451	44676
10	491	44171
11	500	41221
12	514	39062
13	537	37835
14	575	37800
15	613	37742
16	639	37000
17	661	36114
18	699	36106
19	729	35766
20	738	34428
21	754	33540
22	791	33604
23	804	32706
24	816	31850
25	830	31116
26	845	30456
27	860	29866
28	874	29286
29	889	28754
30	904	28288
31	920	27851
32	937	27460
33	950	27005
34	995	27450
35	1066	28555
36	1106	28801
37	1155	29262
38	1208	29784
39	1243	29849
40	1308	30609
41	1344	30666
42	1373	30572
43	1421	30895
44	1479	31393
45	1518	31492
46	1539	31206
47	1548	30715
48	1558	30254
49	1566	29765
50	1576	29326
51	1585	28904
52	1595	28503
53	1604	28110
54	1614	27738
55	1624	27388
56	1638	27111
57	1650	26802
58	1661	26505
59	1675	26245
60	1686	25966
61	1699	25715
62	1728	25709
63	1769	25878
64	1781	25630
65	1793	25382
66	1823	25387
67	1848	25333
68	1879	25357
69	1906	25327
70	1975	25851
71	2010	25915
72	2037	25876
73	2054	25714
74	2090	25777
75	2124	25833
76	2143	25699
77	2171	25672
78	2222	25905
79	2239	25752
80	2310	26211
81	2342	26223
82	2357	26044
83	2370	25847
84	2395	25786
85	2412	25640
86	2465	25874
87	2489	25797
88	2508	25677
89	2531	25596
90	2561	25585
91	2617	25835
92	2631	25667
93	2685	25886
94	2710	25825
95	2752	25920
96	2824	26290
97	2865	26370
98	2899	26384
99	2925	26332
100	2945	26213
101	2963	26092
102	2993	26071
103	3031	26116
104	3072	26188
105	3103	26172
106	3147	26269
107	3194	26383
108	3231	26415
109	3288	26603
110	3330	26671
111	3367	26700
112	3397	26672
113	3410	26507
114	3439	26467
115	3473	26469
116	3492	26358
117	3510	26242
118	3523	26086
119	3567	26159
120	3584	26039
121	3611	25991
122	3647	26009
123	3664	25885
124	3709	25965
125	3727	25854
126	3752	25792
127	3779	25746
128	3788	25581
129	3819	25558
130	3842	25492
131	3854	25346
132	3867	25208
133	3904	25232
134	3921	25129
135	3947	25078
136	3979	25066
137	4013	25069
138	4034	24991
139	4081	25072
140	4118	25088
141	4148	25066
142	4165	24965
143	4200	24967
144	4260	25121
145	4268	24969
146	4310	25010
147	4334	24954
148	4357	24888
149	4380	24821
150	4411	24806
151	4441	24779
152	4462	24705
153	4483	24627
154	4500	24537
155	4518	24443
156	4542	24389
157	4564	24323
158	4597	24319
159	4624	24280
160	4638	24170
161	4666	24141
162	4700	24139
163	4717	24048
164	4782	24200
165	4814	24190
166	4849	24187
167	4867	24106
168	4883	24012
169	4895	23901
170	4908	23797
171	4937	23768
172	4983	23825
173	5010	23786
174	5034	23736
175	5059	23685
176	5078	23614
177	5097	23541
178	5104	23410
179	5118	23318
180	5138	23249
181	5151	23155
182	5174	23099
183	5181	22979
184	5201	22913
185	5220	22845
186	5241	22788
187	5255	22700
188	5277	22645
189	5293	22567
190	5307	22481
191	5318	22382
192	5339	22326
193	5363	22284
194	5372	22178
195	5403	22166
196	5437	22163
197	5452	22084
198	5474	22035
199	5502	22011
200	5525	21963
201	5570	22006
202	5598	21979
203	5627	21960
204	5660	21950
205	5673	21868
206	5706	21861
207	5757	21923
208	5770	21839
209	5789	21779
210	5803	21701
211	5818	21626
212	5833	21555
213	5849	21484
214	5883	21480
215	5909	21447
216	5931	21404
217	5946	21329
218	5959	21251
219	5971	21170
220	5984	21093
221	6011	21066
222	6025	20995
223	6069	21027
224	6099	21008
225	6118	20953
226	6125	20858
227	6164	20871
228	6192	20850
229	6223	20834
230	6282	20915
231	6310	20888
232	6324	20818
233	6332	20729
234	6338	20635
235	6345	20542
236	6351	20448
237	6358	20357
238	6366	20270
239	6372	20180
240	6381	20098
241	6388	20009
242	6395	19923
243	6405	19846
244	6413	19765
245	6421	19683
246	6428	19596
247	6434	19510
248	6441	19428
249	6448	19345
250	6455	19264
251	6463	19184
252	6470	19105
253	6477	19024
254	6483	18942
255	6491	18865
256	6497	18785
257	6504	18706
258	6511	18629
259	6519	18556
260	6527	18482
261	6536	18411
262	6543	18337
263	6550	18262
264	6556	18186
265	6564	18115
266	6573	18046
267	6581	17975
268	6590	17908
269	6596	17834
270	6603	17764
271	6609	17691
272	6616	17620
273	6624	17552
274	6631	17484
275	6638	17413
276	6643	17341
277	6650	17272
278	6658	17205
279	6666	17142
280	6672	17072
281	6679	17007
282	6687	16942
283	6694	16876
284	6703	16817
285	6709	16749
286	6717	16688
287	6723	16623
288	6731	16561
289	6738	16497
290	6745	16434
291	6752	16372
292	6758	16308
293	6766	16249
294	6775	16192
295	6782	16131
296	6789	16071
297	6797	16012
298	6802	15948
299	6808	15886
300	6814	15824
301	6822	15767
302	6830	15712
303	6836	15652
304	6843	15594
305	6849	15535
306	6856	15478
307	6863	15421
308	6871	15366
309	6879	15311
310	6886	15257
311	6894	15202
312	6900	15146
313	6906	15089
314	6914	15035
315	6920	14979
316	6926	14924
317	6934	14871
318	6942	14821
319	6950	14769
320	6956	14715
321	6962	14659
322	6968	14606
323	6975	14553
324	6983	14505
325	6989	14450
326	6998	14403
327	7003	14348
328	7011	14300
329	7017	14246
330	7023	14195
331	7030	14146
332	7039	14099
333	7045	14049
334	7051	13998
335	7057	13946
336	7064	13898
337	7071	13849
338	7078	13802
339	7085	13754
340	7091	13705
341	7098	13657
342	7104	13608
343	7111	13561
344	7117	13513
345	7124	13467
346	7130	13418
347	7137	13373
348	7143	13325
349	7151	13280
350	7156	13231
351	7162	13185
352	7169	13140
353	7175	13093
354	7181	13048
355	7187	13001
356	7193	12955
357	7200	12912
358	7205	12865
359	7212	12821
360	7217	12776
361	7224	12731
362	7231	12690
363	7238	12648
364	7244	12603
365	7251	12561
366	7258	12519
367	7263	12475
368	7270	12433
369	7276	12389
370	7284	12350
371	7290	12308
372	7301	12273
373	7307	12231
374	7313	12188
375	7319	12146
376	7327	12108
377	7334	12068
378	7340	12027
379	7347	11988
380	7353	11946
381	7357	11903
382	7365	11865
383	7371	11825
384	7378	11786
385	7384	11746
386	7390	11705
387	7397	11667
388	7406	11633
389	7414	11597
390	7420	11557
391	7426	11519
392	7433	11481
393	7440	11444
394	7448	11408
395	7455	11371
396	7462	11334
397	7470	11299
398	7476	11261
399	7482	11223
400	7486	11183
401	7492	11145
402	7499	11110
403	7506	11073
404	7512	11037
405	7519	11001
406	7525	10964
407	7533	10930
408	7539	10894
409	7545	10858
410	7554	10825
411	7561	10791
412	7569	10758
413	7575	10723
414	7582	10688
415	7590	10656
416	7596	10620
417	7603	10587
418	7610	10553
419	7617	10519
420	7623	10484
421	7631	10452
422	7639	10420
423	7648	10389
424	7656	10358
425	7662	10325
426	7668	10291
427	7673	10255
428	7681	10224
429	7687	10190
430	7693	10156
431	7699	10123
432	7705	10090
433	7711	10056
434	7716	10022
435	7723	9991
436	7733	9963
437	7739	9931
438	7748	9901
439	7757	9873
440	7764	9842
441	7771	9811
442	7778	9780
443	7784	9748
444	7791	9717
445	7797	9686
446	7804	9654
447	7811	9624
448	7818	9594
449	7824	9563
450	7831	9533
451	7837	9502
452	7845	9473
453	7851	9442
454	7858	9412
455	7866	9384
456	7875	9356
457	7881	9326
458	7887	9296
459	7893	9265
460	7900	9237
461	7908	9208
462	7914	9179
463	7921	9150
464	7927	9120
465	7933	9091
466	7939	9061
467	7949	9036
468	7955	9007
469	7961	8978
470	7967	8948
471	7973	8919
472	7980	8891
473	7987	8863
474	7996	8837
475	8003	8811
476	8012	8784
477	8018	8756
478	8024	8727
479	8029	8699
480	8035	8670
481	8042	8643
482	8049	8615
483	8056	8588
484	8062	8561
485	8069	8534
486	8075	8506
487	8081	8479
488	8089	8453
489	8097	8427
490	8106	8403
491	8116	8380
492	8123	8353
493	8131	8329
494	8139	8303
495	8146	8278
496	8153	8251
497	8161	8227
498	8168	8201
499	8176	8176
500	8183	8150
501	8189	8124
502	8196	8098
503	8204	8074
504	8211	8049
505	8218	8023
506	8224	7997
507	8230	7971
508	8238	7947
509	8247	7923
510	8254	7899
511	8262	7874
512	8268	7849
513	8275	7824
514	8282	7800
515	8291	7777
516	8299	7753
517	8306	7729
518	8312	7704
519	8319	7679
520	8327	7655
521	8333	7631
522	8343	7609
523	8349	7584
524	8359	7563
525	8365	7538
526	8371	7513
527	8379	7490
528	8386	7466
529	8393	7443
530	8400	7419
531	8407	7396
532	8414	7372
533	8422	7350
534	8430	7327
535	8436	7302
536	8442	7278
537	8448	7254
538	8454	7230
539	8461	7207
540	8467	7184
541	8473	7160
542	8481	7138
543	8487	7114
544	8494	7091
545	8502	7069
546	8510	7047
547	8516	7024
548	8521	7000
549	8528	6978
550	8534	6954
551	8541	6931
552	8550	6911
553	8556	6888
554	8566	6868
555	8573	6846
556	8579	6823
557	8585	6800
558	8593	6779
559	8599	6756
560	8605	6734
561	8613	6712
562	8621	6692
563	8627	6669
564	8634	6648
565	8640	6625
566	8647	6604
567	8654	6582
568	8660	6560
